Model,Same (correct),Same (incorrect),Improved,Worsened
70_initial_30_occlusion,95.4,0.9,3.1,0.6
50_initial_50_occlusion,94.7,0.9,3.1,1.3
30_initial_70_occlusion,94.7,0.6,3.4,1.3
100_initial_100_occlusion,95.2,0.6,3.4,0.8
