Epoch,Loss,Val Acc
0.0,1.5430497439415962,84.51576576576576
1.0,0.3582433616300603,92.39864864864865
2.0,0.21616707741095498,94.98873873873873
3.0,0.1564232584525336,94.08783783783784
4.0,0.1252790695201751,95.00750750750751
5.0,0.103036742170786,95.1951951951952
6.0,0.08805593367184962,95.51426426426427
7.0,0.06997305488244661,96.09609609609609
8.0,0.06906888650397437,96.92192192192192
9.0,0.058504305396777194,97.1096096096096
10.0,0.05186342182434611,96.69669669669669
11.0,0.049323891563789905,95.83333333333333
12.0,0.03844796166567876,97.18468468468468
13.0,0.040528168027287814,97.16591591591592
14.0,0.04033366598612936,96.37762762762763
15.0,0.03185267016772662,97.07207207207207
16.0,0.032802180158924915,97.14714714714715
17.0,0.03454773156524722,97.14714714714715
18.0,0.02615495112391787,97.74774774774775
19.0,0.02720614942743348,97.54129129129129
