Epoch,Loss,Val Acc
0.0,0.2746814034498848,93.82507507507508
1.0,0.1504989034767534,95.4391891891892
2.0,0.10557723780618505,95.53303303303304
3.0,0.0804124030713887,95.81456456456456
4.0,0.06562706367490259,95.85210210210211
5.0,0.05256032564064807,96.13363363363364
6.0,0.04711280318673465,96.753003003003
7.0,0.044135685779782524,96.52777777777777
8.0,0.035019957060001335,96.73423423423424
9.0,0.03380815575843923,96.22747747747748
10.0,0.033074244850891284,96.62162162162163
11.0,0.03224475835962151,96.52777777777777
12.0,0.024040722668157995,96.86561561561561
13.0,0.024942280126683303,97.18468468468468
14.0,0.02483606738747472,96.80930930930931
15.0,0.022969532090728835,96.753003003003
16.0,0.024240047995937295,97.20345345345345
17.0,0.02042243922550733,97.46621621621621
18.0,0.021213531434676604,97.240990990991
19.0,0.017916066784493125,96.90315315315316
