epoch,total_loss,sign_acc,det_acc
1,0.08810901050330014,99.00525525525525,98.4421921921922
2,0.06235200459523513,99.10848348348348,97.75713213213213
3,0.05330845642857276,99.43693693693693,98.64864864864865
4,0.048475595760961866,99.43693693693693,98.61111111111111
5,0.04537211083065908,99.32432432432432,98.61111111111111
6,0.04094044505003224,99.5213963963964,98.73310810810811
7,0.03676768628126654,99.51201201201201,98.78941441441441
8,0.036999944052113605,99.57770270270271,98.62049549549549
9,0.034210526986766396,99.11786786786787,98.53603603603604
10,0.03187193895876128,99.39001501501501,98.75187687687688
