Epoch,Loss,Val Acc
0.0,1.1557471264746633,92.34234234234235
1.0,0.10289349417585332,98.85510510510511
2.0,0.050232896966896055,98.78003003003003
3.0,0.033842919392538515,99.30555555555556
4.0,0.02995413310448961,99.43693693693693
5.0,0.028075758041516814,99.41816816816817
6.0,0.020957795038864586,99.71846846846847
7.0,0.019322754139649262,97.63513513513513
8.0,0.015777712974179688,99.47447447447448
9.0,0.008631495420641013,99.73723723723724
10.0,0.01918649606732042,99.49324324324324
11.0,0.01523362805270623,99.45570570570571
12.0,0.0168185037040825,99.51201201201201
13.0,0.0051999079507898,99.30555555555556
14.0,0.017185400460499572,99.6433933933934
15.0,0.008863307958758664,99.19294294294295
16.0,0.011552796648394852,99.62462462462463
17.0,0.00908352015987923,99.62462462462463
18.0,0.008454292979356912,99.68093093093093
19.0,0.012500936347329093,99.86861861861861
