epoch,train_loss,val_loss,val_acc
1,0.6714767830686884,0.6534758489411157,58.070570570570574
2,0.6356173627548389,0.6404262587830827,60.116366366366364
3,0.608925563123849,0.5553276560328029,70.12950450450451
4,0.5384774605880629,0.48279866674640876,76.73611111111111
5,0.44902078722332334,0.4738065741799615,75.60998498498499
6,0.37512279704615875,0.3340927232224662,86.07357357357357
7,0.3201428870852287,0.30502183511629477,86.97447447447448
8,0.277296514191606,0.2774460960078884,87.95045045045045
9,0.24125026716842307,0.20170334323837952,91.75112612612612
10,0.2136777294044559,0.246622283224229,89.71471471471472
11,0.19255373639253168,0.16432873423661556,93.76876876876877
12,0.17267382059346986,0.24746297801042105,90.07132132132132
13,0.15958988331482038,0.1407890773123807,94.91366366366367
14,0.1447214054967369,0.12869746705612262,95.22334834834835
15,0.13487347670727307,0.12260765310477566,95.23273273273273
